,Average Cap Rates,Average Sale Prices,NOI,$/Square Foot,Building SF,Lot Size,Lease Term,Escalations,Stock Symbol,S&P,Moodys,Trend1Y,Trend2Y
0,4.95%,"$2,322,500","$114,964",$450 - $775,"3,000 - 5,000","3,000 - 5,000",10 - 20 Years,Varies,WFC,A-,Aa2,5.23%,5.71%
1,6.36%,"$7,253,111","$461,298",$100 - $150,"49,000 - 75,000","49,000 - 75,000",5 - 15 Years,In Option Periods,N/A,N/A,N/A,6.07%,6.38%
2,6.38%,"$3,997,605","$255,047",$190,"20,000","20,000",15 Years,5 - 10% Every 5 Years,TSCO,N/A,N/A,6.38%,7.15%
3,5.44%,"$11,441,125","$622,397",$60 - $300,"38,000 - 182,000","38,000 - 182,000",20 Year,5 - 10% at Renewal Options,WMT,AA,Aa2,5.52%,5.84%
4,6.97%,"$2,476,874","$178,219",$500 - $620,"4,000 - 5,000","4,000 - 5,000",15 - 20 Years,Varies,DIN,N/A,N/A,6.84,7.16%
5,5.70%,"$2,254,526","$125,895",$375 - $450,"5,000 - 6,000","5,000 - 6,000",20 Years,2% Annually,N/A,N/A,N/A,5.57%,5.73%
6,6.93%,"$2,694,782","$195,916",$385 - $490,"5,500 - 7,000","5,500 - 7,000",Varies,10% every 5 yrs,N/A,N/A,N/A,6.03,6.95
7,5.49%,"$2,941,333","$161,479",$500,"6,000","6,000",20 Years,Varies,EAT,BB+,Ba1,6.35%,5.49%
8,4.95%,"$3,095,083","$167,227",$257 - $343,"9,000 - 12,000","9,000 - 12,000",10 Years,10% Every 5 Years,CBRL,N/A,N/A,6.00%,5.22%
9,5.95%,"$2,351,969","$139,942",$475 - $625,"3,800 - 5,000 square feet","3,800 - 5,000 square feet",15 - 20 Years,5 - 10% Every 5 Years,DENN,N/A,N/A,6.08%,5.62%
10,6.55%,"$2,764,815","$181,095",$460 - $615,"4,500 - 6,000","4,500 - 6,000",20 Years,Varies,N/A,N/A,N/A,7.49%,6.15%
11,6.18%,"$2,596,800","$160,482",$475 - $600,"4,000 - 5,000","4,000 - 5,000",20 - 25 Years,Varies,DIN,N/A,N/A,6.23%,6.38%
12,5.75%,"$2,770,477","$161,390",$345 - $370,"7,500 - 8,000","7,500 - 8,000",Varies,1.5% Annually,DRI,BBB,Baa2,5.28%,6.24%
13,6.07%,"$4,447,092","$269,938",$550 - $700,"7,000 - 9,000","7,000 - 9,000",20 - 25 Years,2% Annually,N/A,N/A,B3,6.12%,5.65%
14,6.61%,"$1,913,333","$125,131",$382 - $478,"4,000 - 5,000","4,000 - 5,000",20 Years,10% every 5 years,N/A,N/A,N/A,6.13%,6.68%
15,5.10%,"$2,979,318","$151,945","$850 - $1,100","2,500 - 3,500","2,500 - 3,500",10 - 20 Years,10% Every 5 Years,N/A,AA-,Baa1,5.50%,5.37%
16,5.76%,"$1,989,996","$114,624","$450 - $1,000","2,000 - 4,500","2,000 - 4,500",10 - 15 Years,5 - 10% Every 5 Years,N/A,BBB,Baa2,6.52%,5.47%
17,5.36%,"$2,814,036","$156,399",$433,"6,500","6,500",15 - 20 Years,10% in Option Period,N/A,N/A,N/A,5.70%,5.20%
18,4.73%,"$4,876,738","$231,529",$810 - $975,"5,000 - 6,000","5,000 - 6,000",20 Years,7 - 10% Every 5 Years,N/A,N/A,N/A,4.72%,4.74%
19,6.81%,"$1,342,205","$95,591",$135 - $150,"9,000 - 10,000","9,000 - 10,000",10 - 15 Years,In Option Periods,DG,BBB,Baa2,7.09%,7.08%
