,Flower_Specie,Type,Colour,Delivery_Week,Link_to_Picture,Quantity_in_width,Growth,Link_to_detail_page
0,Fuchsia x hybrida Opprett,Bella – Miranda,Lys rosa/lys lilla  ,7 og 10,http://g3.no/wp-content/uploads/bella-fuchsia-miranda.jpg,106,2,"['http://g3.no/sorter/bella-miranda/', 'http://g3.no/sorter/bella-sacha/', 'http://g3.no/sorter/bella-nikita/', 'http://g3.no/sorter/yeti/', 'http://g3.no/sorter/wassernimphe/', 'http://g3.no/sorter/pink-spritzer-2/', 'http://g3.no/sorter/gartenmeister-bonstedt/', 'http://g3.no/sorter/vera/', 'http://g3.no/sorter/susanna/', 'http://g3.no/sorter/soila/', 'http://g3.no/sorter/sarah/', 'http://g3.no/sorter/mariska/', 'http://g3.no/sorter/evita/', 'http://g3.no/sorter/mini-rose/', 'http://g3.no/sorter/mieke-meursing/', 'http://g3.no/sorter/display/', 'http://g3.no/sorter/opprett-mix-4/', 'http://g3.no/sorter/opprett-mix-3/', 'http://g3.no/sorter/opprett-mix-2/', 'http://g3.no/sorter/opprett-mix-1/', 'http://g3.no/sorter/waltz-jubelteen/', 'http://g3.no/sorter/poula-jane/', 'http://g3.no/sorter/nicen-easy/', 'http://g3.no/sorter/miss-california/', 'http://g3.no/sorter/lena-dalton/', 'http://g3.no/sorter/lambada/', 'http://g3.no/sorter/krommenie/', 'http://g3.no/sorter/insolinde/', 'http://g3.no/sorter/goteborskan/', 'http://g3.no/sorter/gillian-anthea/', 'http://g3.no/sorter/euro-princess/', 'http://g3.no/sorter/ernie/', 'http://g3.no/sorter/ellebel/', 'http://g3.no/sorter/electric-light/', 'http://g3.no/sorter/beckie-lou/', 'http://g3.no/sorter/beacon-rosa/', 'http://g3.no/sorter/beacon/', 'http://g3.no/sorter/albertina/']"
1,Fuchsia x hybrida Opprett,Bella – Sacha,R,7 og 10,http://g3.no/wp-content/uploads/bella-fuchsia-sacha.jpg,106,2,"['http://g3.no/sorter/bella-miranda/', 'http://g3.no/sorter/bella-sacha/', 'http://g3.no/sorter/bella-nikita/', 'http://g3.no/sorter/yeti/', 'http://g3.no/sorter/wassernimphe/', 'http://g3.no/sorter/pink-spritzer-2/', 'http://g3.no/sorter/gartenmeister-bonstedt/', 'http://g3.no/sorter/vera/', 'http://g3.no/sorter/susanna/', 'http://g3.no/sorter/soila/', 'http://g3.no/sorter/sarah/', 'http://g3.no/sorter/mariska/', 'http://g3.no/sorter/evita/', 'http://g3.no/sorter/mini-rose/', 'http://g3.no/sorter/mieke-meursing/', 'http://g3.no/sorter/display/', 'http://g3.no/sorter/opprett-mix-4/', 'http://g3.no/sorter/opprett-mix-3/', 'http://g3.no/sorter/opprett-mix-2/', 'http://g3.no/sorter/opprett-mix-1/', 'http://g3.no/sorter/waltz-jubelteen/', 'http://g3.no/sorter/poula-jane/', 'http://g3.no/sorter/nicen-easy/', 'http://g3.no/sorter/miss-california/', 'http://g3.no/sorter/lena-dalton/', 'http://g3.no/sorter/lambada/', 'http://g3.no/sorter/krommenie/', 'http://g3.no/sorter/insolinde/', 'http://g3.no/sorter/goteborskan/', 'http://g3.no/sorter/gillian-anthea/', 'http://g3.no/sorter/euro-princess/', 'http://g3.no/sorter/ernie/', 'http://g3.no/sorter/ellebel/', 'http://g3.no/sorter/electric-light/', 'http://g3.no/sorter/beckie-lou/', 'http://g3.no/sorter/beacon-rosa/', 'http://g3.no/sorter/beacon/', 'http://g3.no/sorter/albertina/']"
2,Fuchsia x hybrida Opprett,Bella – Nikita,Rosa/Lys Lilla  ,7 og 10,http://g3.no/wp-content/uploads/bella-fuchsia-nikita.jpg,106,2,"['http://g3.no/sorter/bella-miranda/', 'http://g3.no/sorter/bella-sacha/', 'http://g3.no/sorter/bella-nikita/', 'http://g3.no/sorter/yeti/', 'http://g3.no/sorter/wassernimphe/', 'http://g3.no/sorter/pink-spritzer-2/', 'http://g3.no/sorter/gartenmeister-bonstedt/', 'http://g3.no/sorter/vera/', 'http://g3.no/sorter/susanna/', 'http://g3.no/sorter/soila/', 'http://g3.no/sorter/sarah/', 'http://g3.no/sorter/mariska/', 'http://g3.no/sorter/evita/', 'http://g3.no/sorter/mini-rose/', 'http://g3.no/sorter/mieke-meursing/', 'http://g3.no/sorter/display/', 'http://g3.no/sorter/opprett-mix-4/', 'http://g3.no/sorter/opprett-mix-3/', 'http://g3.no/sorter/opprett-mix-2/', 'http://g3.no/sorter/opprett-mix-1/', 'http://g3.no/sorter/waltz-jubelteen/', 'http://g3.no/sorter/poula-jane/', 'http://g3.no/sorter/nicen-easy/', 'http://g3.no/sorter/miss-california/', 'http://g3.no/sorter/lena-dalton/', 'http://g3.no/sorter/lambada/', 'http://g3.no/sorter/krommenie/', 'http://g3.no/sorter/insolinde/', 'http://g3.no/sorter/goteborskan/', 'http://g3.no/sorter/gillian-anthea/', 'http://g3.no/sorter/euro-princess/', 'http://g3.no/sorter/ernie/', 'http://g3.no/sorter/ellebel/', 'http://g3.no/sorter/electric-light/', 'http://g3.no/sorter/beckie-lou/', 'http://g3.no/sorter/beacon-rosa/', 'http://g3.no/sorter/beacon/', 'http://g3.no/sorter/albertina/']"
3,Fuchsia x hybrida Opprett,Yeti*,Hvit/Hvit  ,2 og 5-20,http://g3.no/wp-content/uploads/Fuchsia-Yeti.png,106,3,"['http://g3.no/sorter/bella-miranda/', 'http://g3.no/sorter/bella-sacha/', 'http://g3.no/sorter/bella-nikita/', 'http://g3.no/sorter/yeti/', 'http://g3.no/sorter/wassernimphe/', 'http://g3.no/sorter/pink-spritzer-2/', 'http://g3.no/sorter/gartenmeister-bonstedt/', 'http://g3.no/sorter/vera/', 'http://g3.no/sorter/susanna/', 'http://g3.no/sorter/soila/', 'http://g3.no/sorter/sarah/', 'http://g3.no/sorter/mariska/', 'http://g3.no/sorter/evita/', 'http://g3.no/sorter/mini-rose/', 'http://g3.no/sorter/mieke-meursing/', 'http://g3.no/sorter/display/', 'http://g3.no/sorter/opprett-mix-4/', 'http://g3.no/sorter/opprett-mix-3/', 'http://g3.no/sorter/opprett-mix-2/', 'http://g3.no/sorter/opprett-mix-1/', 'http://g3.no/sorter/waltz-jubelteen/', 'http://g3.no/sorter/poula-jane/', 'http://g3.no/sorter/nicen-easy/', 'http://g3.no/sorter/miss-california/', 'http://g3.no/sorter/lena-dalton/', 'http://g3.no/sorter/lambada/', 'http://g3.no/sorter/krommenie/', 'http://g3.no/sorter/insolinde/', 'http://g3.no/sorter/goteborskan/', 'http://g3.no/sorter/gillian-anthea/', 'http://g3.no/sorter/euro-princess/', 'http://g3.no/sorter/ernie/', 'http://g3.no/sorter/ellebel/', 'http://g3.no/sorter/electric-light/', 'http://g3.no/sorter/beckie-lou/', 'http://g3.no/sorter/beacon-rosa/', 'http://g3.no/sorter/beacon/', 'http://g3.no/sorter/albertina/']"
4,Fuchsia x hybrida Opprett,Wassernimphe,Hvit/lys r,"7,10",http://g3.no/wp-content/uploads/wassernimpfe_fuchsia.jpg,106,4,"['http://g3.no/sorter/bella-miranda/', 'http://g3.no/sorter/bella-sacha/', 'http://g3.no/sorter/bella-nikita/', 'http://g3.no/sorter/yeti/', 'http://g3.no/sorter/wassernimphe/', 'http://g3.no/sorter/pink-spritzer-2/', 'http://g3.no/sorter/gartenmeister-bonstedt/', 'http://g3.no/sorter/vera/', 'http://g3.no/sorter/susanna/', 'http://g3.no/sorter/soila/', 'http://g3.no/sorter/sarah/', 'http://g3.no/sorter/mariska/', 'http://g3.no/sorter/evita/', 'http://g3.no/sorter/mini-rose/', 'http://g3.no/sorter/mieke-meursing/', 'http://g3.no/sorter/display/', 'http://g3.no/sorter/opprett-mix-4/', 'http://g3.no/sorter/opprett-mix-3/', 'http://g3.no/sorter/opprett-mix-2/', 'http://g3.no/sorter/opprett-mix-1/', 'http://g3.no/sorter/waltz-jubelteen/', 'http://g3.no/sorter/poula-jane/', 'http://g3.no/sorter/nicen-easy/', 'http://g3.no/sorter/miss-california/', 'http://g3.no/sorter/lena-dalton/', 'http://g3.no/sorter/lambada/', 'http://g3.no/sorter/krommenie/', 'http://g3.no/sorter/insolinde/', 'http://g3.no/sorter/goteborskan/', 'http://g3.no/sorter/gillian-anthea/', 'http://g3.no/sorter/euro-princess/', 'http://g3.no/sorter/ernie/', 'http://g3.no/sorter/ellebel/', 'http://g3.no/sorter/electric-light/', 'http://g3.no/sorter/beckie-lou/', 'http://g3.no/sorter/beacon-rosa/', 'http://g3.no/sorter/beacon/', 'http://g3.no/sorter/albertina/']"
5,Fuchsia x hybrida Opprett,Pink Spritzer,Rosa/Rosa  ,"7,10",,106,3,"['http://g3.no/sorter/bella-miranda/', 'http://g3.no/sorter/bella-sacha/', 'http://g3.no/sorter/bella-nikita/', 'http://g3.no/sorter/yeti/', 'http://g3.no/sorter/wassernimphe/', 'http://g3.no/sorter/pink-spritzer-2/', 'http://g3.no/sorter/gartenmeister-bonstedt/', 'http://g3.no/sorter/vera/', 'http://g3.no/sorter/susanna/', 'http://g3.no/sorter/soila/', 'http://g3.no/sorter/sarah/', 'http://g3.no/sorter/mariska/', 'http://g3.no/sorter/evita/', 'http://g3.no/sorter/mini-rose/', 'http://g3.no/sorter/mieke-meursing/', 'http://g3.no/sorter/display/', 'http://g3.no/sorter/opprett-mix-4/', 'http://g3.no/sorter/opprett-mix-3/', 'http://g3.no/sorter/opprett-mix-2/', 'http://g3.no/sorter/opprett-mix-1/', 'http://g3.no/sorter/waltz-jubelteen/', 'http://g3.no/sorter/poula-jane/', 'http://g3.no/sorter/nicen-easy/', 'http://g3.no/sorter/miss-california/', 'http://g3.no/sorter/lena-dalton/', 'http://g3.no/sorter/lambada/', 'http://g3.no/sorter/krommenie/', 'http://g3.no/sorter/insolinde/', 'http://g3.no/sorter/goteborskan/', 'http://g3.no/sorter/gillian-anthea/', 'http://g3.no/sorter/euro-princess/', 'http://g3.no/sorter/ernie/', 'http://g3.no/sorter/ellebel/', 'http://g3.no/sorter/electric-light/', 'http://g3.no/sorter/beckie-lou/', 'http://g3.no/sorter/beacon-rosa/', 'http://g3.no/sorter/beacon/', 'http://g3.no/sorter/albertina/']"
6,Fuchsia x hybrida Opprett,Gartenmeister Bonstedt,Oranger,7 og 10,http://g3.no/wp-content/uploads/Gartenmeister-Bonstedt_fuchsia_hendriks_young_plants.jpg,106,3,"['http://g3.no/sorter/bella-miranda/', 'http://g3.no/sorter/bella-sacha/', 'http://g3.no/sorter/bella-nikita/', 'http://g3.no/sorter/yeti/', 'http://g3.no/sorter/wassernimphe/', 'http://g3.no/sorter/pink-spritzer-2/', 'http://g3.no/sorter/gartenmeister-bonstedt/', 'http://g3.no/sorter/vera/', 'http://g3.no/sorter/susanna/', 'http://g3.no/sorter/soila/', 'http://g3.no/sorter/sarah/', 'http://g3.no/sorter/mariska/', 'http://g3.no/sorter/evita/', 'http://g3.no/sorter/mini-rose/', 'http://g3.no/sorter/mieke-meursing/', 'http://g3.no/sorter/display/', 'http://g3.no/sorter/opprett-mix-4/', 'http://g3.no/sorter/opprett-mix-3/', 'http://g3.no/sorter/opprett-mix-2/', 'http://g3.no/sorter/opprett-mix-1/', 'http://g3.no/sorter/waltz-jubelteen/', 'http://g3.no/sorter/poula-jane/', 'http://g3.no/sorter/nicen-easy/', 'http://g3.no/sorter/miss-california/', 'http://g3.no/sorter/lena-dalton/', 'http://g3.no/sorter/lambada/', 'http://g3.no/sorter/krommenie/', 'http://g3.no/sorter/insolinde/', 'http://g3.no/sorter/goteborskan/', 'http://g3.no/sorter/gillian-anthea/', 'http://g3.no/sorter/euro-princess/', 'http://g3.no/sorter/ernie/', 'http://g3.no/sorter/ellebel/', 'http://g3.no/sorter/electric-light/', 'http://g3.no/sorter/beckie-lou/', 'http://g3.no/sorter/beacon-rosa/', 'http://g3.no/sorter/beacon/', 'http://g3.no/sorter/albertina/']"
7,Fuchsia x hybrida Opprett,Bella – Vera,R,7 og 10,http://g3.no/wp-content/uploads/bella_fuchsia_vera_3.jpg,106,2,"['http://g3.no/sorter/bella-miranda/', 'http://g3.no/sorter/bella-sacha/', 'http://g3.no/sorter/bella-nikita/', 'http://g3.no/sorter/yeti/', 'http://g3.no/sorter/wassernimphe/', 'http://g3.no/sorter/pink-spritzer-2/', 'http://g3.no/sorter/gartenmeister-bonstedt/', 'http://g3.no/sorter/vera/', 'http://g3.no/sorter/susanna/', 'http://g3.no/sorter/soila/', 'http://g3.no/sorter/sarah/', 'http://g3.no/sorter/mariska/', 'http://g3.no/sorter/evita/', 'http://g3.no/sorter/mini-rose/', 'http://g3.no/sorter/mieke-meursing/', 'http://g3.no/sorter/display/', 'http://g3.no/sorter/opprett-mix-4/', 'http://g3.no/sorter/opprett-mix-3/', 'http://g3.no/sorter/opprett-mix-2/', 'http://g3.no/sorter/opprett-mix-1/', 'http://g3.no/sorter/waltz-jubelteen/', 'http://g3.no/sorter/poula-jane/', 'http://g3.no/sorter/nicen-easy/', 'http://g3.no/sorter/miss-california/', 'http://g3.no/sorter/lena-dalton/', 'http://g3.no/sorter/lambada/', 'http://g3.no/sorter/krommenie/', 'http://g3.no/sorter/insolinde/', 'http://g3.no/sorter/goteborskan/', 'http://g3.no/sorter/gillian-anthea/', 'http://g3.no/sorter/euro-princess/', 'http://g3.no/sorter/ernie/', 'http://g3.no/sorter/ellebel/', 'http://g3.no/sorter/electric-light/', 'http://g3.no/sorter/beckie-lou/', 'http://g3.no/sorter/beacon-rosa/', 'http://g3.no/sorter/beacon/', 'http://g3.no/sorter/albertina/']"
8,Fuchsia x hybrida Opprett,Bella – Susanna,Rosa/Lys lilla  ,7 og 10,http://g3.no/wp-content/uploads/bella_fuchsia_susanna3.jpg,106,2,"['http://g3.no/sorter/bella-miranda/', 'http://g3.no/sorter/bella-sacha/', 'http://g3.no/sorter/bella-nikita/', 'http://g3.no/sorter/yeti/', 'http://g3.no/sorter/wassernimphe/', 'http://g3.no/sorter/pink-spritzer-2/', 'http://g3.no/sorter/gartenmeister-bonstedt/', 'http://g3.no/sorter/vera/', 'http://g3.no/sorter/susanna/', 'http://g3.no/sorter/soila/', 'http://g3.no/sorter/sarah/', 'http://g3.no/sorter/mariska/', 'http://g3.no/sorter/evita/', 'http://g3.no/sorter/mini-rose/', 'http://g3.no/sorter/mieke-meursing/', 'http://g3.no/sorter/display/', 'http://g3.no/sorter/opprett-mix-4/', 'http://g3.no/sorter/opprett-mix-3/', 'http://g3.no/sorter/opprett-mix-2/', 'http://g3.no/sorter/opprett-mix-1/', 'http://g3.no/sorter/waltz-jubelteen/', 'http://g3.no/sorter/poula-jane/', 'http://g3.no/sorter/nicen-easy/', 'http://g3.no/sorter/miss-california/', 'http://g3.no/sorter/lena-dalton/', 'http://g3.no/sorter/lambada/', 'http://g3.no/sorter/krommenie/', 'http://g3.no/sorter/insolinde/', 'http://g3.no/sorter/goteborskan/', 'http://g3.no/sorter/gillian-anthea/', 'http://g3.no/sorter/euro-princess/', 'http://g3.no/sorter/ernie/', 'http://g3.no/sorter/ellebel/', 'http://g3.no/sorter/electric-light/', 'http://g3.no/sorter/beckie-lou/', 'http://g3.no/sorter/beacon-rosa/', 'http://g3.no/sorter/beacon/', 'http://g3.no/sorter/albertina/']"
9,Fuchsia x hybrida Opprett,Bella – Soila,Rosa/M,7 og 10,http://g3.no/wp-content/uploads/bella_fuchsia_soila1_hendriks_youngplants.jpg,106,2,"['http://g3.no/sorter/bella-miranda/', 'http://g3.no/sorter/bella-sacha/', 'http://g3.no/sorter/bella-nikita/', 'http://g3.no/sorter/yeti/', 'http://g3.no/sorter/wassernimphe/', 'http://g3.no/sorter/pink-spritzer-2/', 'http://g3.no/sorter/gartenmeister-bonstedt/', 'http://g3.no/sorter/vera/', 'http://g3.no/sorter/susanna/', 'http://g3.no/sorter/soila/', 'http://g3.no/sorter/sarah/', 'http://g3.no/sorter/mariska/', 'http://g3.no/sorter/evita/', 'http://g3.no/sorter/mini-rose/', 'http://g3.no/sorter/mieke-meursing/', 'http://g3.no/sorter/display/', 'http://g3.no/sorter/opprett-mix-4/', 'http://g3.no/sorter/opprett-mix-3/', 'http://g3.no/sorter/opprett-mix-2/', 'http://g3.no/sorter/opprett-mix-1/', 'http://g3.no/sorter/waltz-jubelteen/', 'http://g3.no/sorter/poula-jane/', 'http://g3.no/sorter/nicen-easy/', 'http://g3.no/sorter/miss-california/', 'http://g3.no/sorter/lena-dalton/', 'http://g3.no/sorter/lambada/', 'http://g3.no/sorter/krommenie/', 'http://g3.no/sorter/insolinde/', 'http://g3.no/sorter/goteborskan/', 'http://g3.no/sorter/gillian-anthea/', 'http://g3.no/sorter/euro-princess/', 'http://g3.no/sorter/ernie/', 'http://g3.no/sorter/ellebel/', 'http://g3.no/sorter/electric-light/', 'http://g3.no/sorter/beckie-lou/', 'http://g3.no/sorter/beacon-rosa/', 'http://g3.no/sorter/beacon/', 'http://g3.no/sorter/albertina/']"
